idblk,row,col,xpos,ypos,ncol_per_row,is_on_edge
0,0,0,1.45074,-0.62217,12,1
1,0,1,1.45074,-0.57925,12,1
2,0,2,1.45074,-0.53632,12,1
3,0,3,1.45074,-0.49177,12,1
4,0,4,1.45074,-0.44884,12,1
5,0,5,1.45074,-0.40592,12,1
6,0,6,1.45074,-0.36137,12,1
7,0,7,1.45074,-0.31844,12,1
8,0,8,1.45074,-0.27551,12,1
9,0,9,1.45074,-0.23096,12,1
10,0,10,1.45074,-0.18804,12,1
11,0,11,1.45074,-0.14511,12,1
12,1,0,1.40781,-0.62217,12,1
13,1,1,1.40781,-0.57925,12,0
14,1,2,1.40781,-0.53632,12,0
15,1,3,1.40781,-0.49177,12,0
16,1,4,1.40781,-0.44884,12,0
17,1,5,1.40781,-0.40592,12,0
18,1,6,1.40781,-0.36137,12,0
19,1,7,1.40781,-0.31844,12,0
20,1,8,1.40781,-0.27551,12,0
21,1,9,1.40781,-0.23096,12,0
22,1,10,1.40781,-0.18804,12,0
23,1,11,1.40781,-0.14511,12,1
24,2,0,1.36489,-0.62217,12,1
25,2,1,1.36489,-0.57925,12,0
26,2,2,1.36489,-0.53632,12,0
27,2,3,1.36489,-0.49177,12,0
28,2,4,1.36489,-0.44884,12,0
29,2,5,1.36489,-0.40592,12,0
30,2,6,1.36489,-0.36137,12,0
31,2,7,1.36489,-0.31844,12,0
32,2,8,1.36489,-0.27551,12,0
33,2,9,1.36489,-0.23096,12,0
34,2,10,1.36489,-0.18804,12,0
35,2,11,1.36489,-0.14511,12,1
36,3,0,1.32196,-0.58097,18,1
37,3,1,1.32196,-0.53805,18,0
38,3,2,1.32196,-0.49512,18,0
39,3,3,1.32196,-0.45057,18,0
40,3,4,1.32196,-0.40764,18,0
41,3,5,1.32196,-0.36472,18,0
42,3,6,1.32196,-0.32017,18,0
43,3,7,1.32196,-0.27724,18,0
44,3,8,1.32196,-0.23432,18,0
45,3,9,1.32196,-0.18976,18,0
46,3,10,1.32196,-0.14684,18,0
47,3,11,1.32196,-0.10391,18,0
48,3,12,1.32196,-0.05936,18,0
49,3,13,1.32196,-0.01643,18,0
50,3,14,1.32196,0.02649,18,0
51,3,15,1.32196,0.07104,18,0
52,3,16,1.32196,0.11397,18,0
53,3,17,1.32196,0.1569,18,1
54,4,0,1.27903,-0.58097,18,1
55,4,1,1.27903,-0.53805,18,0
56,4,2,1.27903,-0.49512,18,0
57,4,3,1.27903,-0.45057,18,0
58,4,4,1.27903,-0.40764,18,0
59,4,5,1.27903,-0.36472,18,0
60,4,6,1.27903,-0.32017,18,0
61,4,7,1.27903,-0.27724,18,0
62,4,8,1.27903,-0.23432,18,0
63,4,9,1.27903,-0.18976,18,0
64,4,10,1.27903,-0.14684,18,0
65,4,11,1.27903,-0.10391,18,0
66,4,12,1.27903,-0.05936,18,0
67,4,13,1.27903,-0.01643,18,0
68,4,14,1.27903,0.02649,18,0
69,4,15,1.27903,0.07104,18,0
70,4,16,1.27903,0.11397,18,0
71,4,17,1.27903,0.1569,18,1
72,5,0,1.23611,-0.58097,18,1
73,5,1,1.23611,-0.53805,18,0
74,5,2,1.23611,-0.49512,18,0
75,5,3,1.23611,-0.45057,18,0
76,5,4,1.23611,-0.40764,18,0
77,5,5,1.23611,-0.36472,18,0
78,5,6,1.23611,-0.32017,18,0
79,5,7,1.23611,-0.27724,18,0
80,5,8,1.23611,-0.23432,18,0
